Nombre_registro,FechaHora_PC,Fase,Tipo_muestra,Numero_muestra,Timestamp_ESP32_us,Tiempo_sesion_s,Tiempo_prueba_s,Perdidas_desde_anterior,ECG_RAW_ADC,ECG_FILTRADO_ADC,Electrodos_conectados,Calidad_ECG,Pico_R,RR_actual_ms,RR_estable_ms,FC_ECG_BPM,RMSSD_fase_ms,SDNN_fase_ms,RR_validos_fase,RMSSD_basal_ms,SDNN_basal_ms,RR_validos_basal,RMSSD_prueba_ms,SDNN_prueba_ms,RR_validos_prueba,PPG_RED_RAW,PPG_IR_RAW,Dedo_PPG,Estado_PPG,SpO2_pct,FC_PPG_BPM,PPG_valido,GSR_RAW_ADC,GSR_FILTRADO,GSR_BASAL,GSR_DELTA_ADC,GSR_DELTA_PCT,Estado_GSR,GSR_pendiente_basal_20s_pct_min,GSR_pendiente_basal_10s_pct_min,GSR_basal_estable,Temperatura_C
Mama,2026-08-29T10:53:04.745,ADAPTACION,ECG,23171,46473301,0.000000,,0,1911,2070,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.749,ADAPTACION,GSR,2312,46473997,0.000696,,0,,,,,,,,,,,,,,,,,,,,,,,,,2384,2384.42,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.751,ADAPTACION,ECG,23172,46475162,0.001861,,0,1897,2061,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.752,ADAPTACION,ECG,23173,46477166,0.003865,,0,1853,2052,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.754,ADAPTACION,ECG,23174,46479165,0.005864,,0,1811,2047,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.755,ADAPTACION,ECG,23175,46481165,0.007864,,0,1793,2048,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.756,ADAPTACION,ECG,23176,46483164,0.009863,,0,1804,2055,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.757,ADAPTACION,PPG,1161,46484677,0.011376,,0,,,,,,,,,,,,,,,,,,190,134,0,SIN DEDO,,,0,,,,,,,,,,
Mama,2026-08-29T10:53:04.758,ADAPTACION,ECG,23177,46485418,0.012117,,0,1868,2065,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.759,ADAPTACION,ECG,23178,46487418,0.014117,,0,1949,2074,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.760,ADAPTACION,ECG,23179,46489419,0.016118,,0,2007,2081,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.761,ADAPTACION,ECG,23180,46491418,0.018117,,0,2000,2086,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.762,ADAPTACION,ECG,23181,46493418,0.020117,,0,1947,2090,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.763,ADAPTACION,GSR,2313,46494110,0.020809,,0,,,,,,,,,,,,,,,,,,,,,,,,,2409,2386.39,,,,ADAPTANDO,,,,
Mama,2026-08-29T10:53:04.764,ADAPTACION,ECG,23182,46495282,0.021981,,0,1862,2092,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.764,ADAPTACION,ECG,23183,46497287,0.023986,,0,1791,2094,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.765,ADAPTACION,ECG,23184,46499289,0.025988,,0,1801,2094,1,INICIANDO,1,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.766,ADAPTACION,ECG,23185,46501290,0.027989,,0,1890,2095,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.767,ADAPTACION,ECG,23186,46503292,0.029991,,0,2019,2100,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
Mama,2026-08-29T10:53:04.767,ADAPTACION,ECG,23187,46505295,0.031994,,0,2123,2110,1,INICIANDO,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,
